FY 2011 Visitor Program Departments and Project Codes,,,,,,
,,,,,,
JFRC Visiting Scientists - Individual,,,ACTIVE,INACTIVE,NEW/CHANGE,
,,,,,,
Dept ID,Project ID,Description,Start Date,End Date,Comment,
093400,JVS009300,Visitor - Qian-Qun Sun,6/1/2011,11/30/2011,pending,41
093400,JVS009400,Visitor - David Axline,7/1/2011,9/30/2011,NEW,42
093400,JVS009500,Visitor - David Golomb,8/1/2011,7/31/2012,pending,43
093400,JVS009600,Visitor - Rob Presler,5/1/2011,6/30/2011,NEW,44
093400,JVS009700,Visitor - Michael Nitabach,7/1/2011,6/30/2012,pending,45
093400,JVS010000,Visitor - Stephen Huston,3/1/2010,4/30/2011,,46
093400,JVS011000,Visitor - Tony D'Alessio,2/1/2010,12/31/2010,expired,47
093400,JVS012000,Visitor - J.C. Rah,1/1/2010,8/31/2011,,47
093400,JVS013000,Visitor - Julian Paton,3/1/2010,8/31/2011,,48
093400,JVS014000,Visitor - Anirvan Ghosh,4/1/2010,12/31/2011,,49
093400,JVS015000,Visitor - Utsav Goel,6/1/2010,8/31/2010,expired,
093400,JVS016000,Visitor - Eric Trautman,6/1/2010,8/31/2010,expired,
093400,JVS017000,Visitor - Saket Navlakha,6/1/2010,8/31/2010,expired,
093400,JVS018000,Visitor - Min Liu,6/1/2010,9/30/2010,expired,
,,,,,,
,,,,,,
JFRC Teams,,,,,,
,,,,,,
Dept ID,Project ID,Description,Start Date,End Date,Comment,
093416,JVS001901,Visitor - Volker Hartenstein,9/1/2009,10/30/2010,expired,
093416,JVS003800,Visitor - Lawrence Zipursky,9/1/2009,8/31/2010,expired,
093416,JVS005200,Visitor - Chris Doe,9/1/2009,8/31/2010,expired,
093416,JVS416001,Visitor - Ron Tanimoto,9/1/2010,8/31/2011,,1
093416,JVS416010,Fly Light Team,9/1/2010,8/31/2012,,
093417,JVS417010,Fly EM Team,9/1/2010,8/31/2012,,
093417,JVS417020,Visitor - Ian Meinertzhagen,9/1/2010,8/31/2012,,2
093417,JVS417030,Visitor - Gonzalo de Polavieja,9/1/2010,8/31/2012,,3
093417,JVS417040,Visitor - Volker Hartenstein,9/1/2010,8/31/2012,,4
093418,JVS418010,Fly Olympiad Team,9/1/2010,8/31/2012,,
093418,JVS418020,Visitor - David Anderson,9/1/2010,8/31/2012,,5
093418,JVS418030,Visitor - Roland Strauss,9/1/2010,8/31/2012,,6
093421,JVS421010,GECI Team,9/1/2010,8/31/2012,,
093421,JVS421020,Visitor - Sevinc Mutlu,12/1/2010,5/31/2011,,7
093421,JVS421030,Visitor - Hatim Zariwala,12/27/2010,2/27/2011,expired,8
093421,JVS421040,Visitor - Oliver Griesbeck,7/1/2011,9/30/2011,pending,9
093423,JVS423010,Single Cell Biochemistry Team,9/1/2010,8/31/2011,,
093423,JVS423020,Visitor - Singer / Darzacq,9/1/2010,8/31/2011,,10
093423,JVS423030,Visitor - Michael Rosbash,9/1/2010,8/31/2011,,11
